pool,attacker_key,event_count,total_profit,net_profit
GoonFi,56Zzf5c9cffkmonsgRTN2vrSmMpdx936BNghe5mWB4iG,1,0.0,0.0
GoonFi,592vvp3ERtTtVCM45JzSN8tvhzeDCSkeVVuBu6D5nJq3,1,0.0,0.0
GoonFi,5MauBjFrhji1zzGVVeAehBhMsYcQvaK4qECxn4hTf7HD,1,0.0,0.0
GoonFi,5UsuSY3z92oWd3sqig7S2AGM4ZjNqQMDTvuvAYy9TZd1,1,0.0,0.0
GoonFi,5Y8qP9AavHyG69gTMbJP6v3Cj85VnDimdE1GZtfdV1WL,1,0.01,0.009
GoonFi,5Zm6GraYjpaNCoAnTpWThxzynVZvPM8DdcVvyK9vecKT,1,0.04,0.036
GoonFi,5cU5rbxAcpaGoPyms9jKoXQX5EiZzD3DNmwzbC3qE8Sd,1,0.01,0.009
GoonFi,5ePvEZx19BZxVvF3nu6gQacoBA9mEFV82eGnRNrnhK23,1,0.07,0.063
GoonFi,5hJBwurbXaNwFJMLuUBxWvLUes3EuwMDKFZDyvzPabXF,1,0.0,0.0
GoonFi,5tkPL9BaSmj3W4YLDCocL41RPeLsw7CAEkWW7ivqF5v1,1,0.01,0.009
GoonFi,5wJB75Bh77nRY6LJRwEM1UifDcaeMDHEFhiwDQqqKCjC,1,0.0,0.0
GoonFi,5y5jCvdD6uTPjWbQtLj8ABQ56jCor2SxURidAqGSyviw,1,0.01,0.009
GoonFi,61yRcZbGkvrK4P1DeJhnvJpxQwmyX9uKjGbwCLWCCKp7,1,0.0,0.0
GoonFi,61yfAVS257Jgx7oMhUG5uZVZMbcnfuZM3JG3BYgdyfT4,1,0.03,0.027
GoonFi,62kW7reD5BUyWiKbbctNWrcUrp2NFPtBin1xUXPNPxsX,1,0.0,0.0
GoonFi,666zhExqDUnApdhG4YAN7Vw4eTQyc6L988mRTqjqh73t,1,0.01,0.009
