signer,pool,total_profit,attack_count
7JJ4RrYC4wBb2ZangbVW4XbQenhEbkdoo7vhoWoShYjp,ZeroFi,0.117,1
7JJ4RrYC4wBb2ZangbVW4XbQenhEbkdoo7vhoWoShYjp,BisonFi,0.045,1
7JJ4RrYC4wBb2ZangbVW4XbQenhEbkdoo7vhoWoShYjp,TesseraV,0.009,1
7JQeyNK55fkUPUmEotupBFpiBGpgEQYLe8Ht1VdSfxcP,HumidiFi,0.036,1
7JQeyNK55fkUPUmEotupBFpiBGpgEQYLe8Ht1VdSfxcP,BisonFi,0.009,1
7LFYBv2FQDY6aw5hL5SBCW2PiHG8TmENxBnfUnCksRbs,HumidiFi,0.018,1
7dGrdJRYtsNR8UYxZ3TnifXGjGc9eRYLq9sELwYpuuUu,HumidiFi,0.018,1
7dGrdJRYtsNR8UYxZ3TnifXGjGc9eRYLq9sELwYpuuUu,GoonFi,0.009,1
7jN6hUdNBdkK12wVM2iydxx9hzsxUhUppmr99Aeu6cKb,BisonFi,0.009,1
7jN6hUdNBdkK12wVM2iydxx9hzsxUhUppmr99Aeu6cKb,HumidiFi,0.009,1
7rtiKSUDLBm59b1SBmD9oajcP8xE64vAGSMbAN5CXy1q,HumidiFi,0.018,1
888SGnyhGzqQuuWDVL48tn7xJsAEV259mK9V4YEcUn6f,HumidiFi,0.054,1
888SGnyhGzqQuuWDVL48tn7xJsAEV259mK9V4YEcUn6f,BisonFi,0.018,1
888SGnyhGzqQuuWDVL48tn7xJsAEV259mK9V4YEcUn6f,GoonFi,0.009,1
88S3zQ4RhahQJSMrusV3sxhZXJewo4oQ3ErNTXaN9VgR,HumidiFi,1.665,1
88S3zQ4RhahQJSMrusV3sxhZXJewo4oQ3ErNTXaN9VgR,BisonFi,0.108,1
88S3zQ4RhahQJSMrusV3sxhZXJewo4oQ3ErNTXaN9VgR,SolFiV2,0.009,1
8BqPz57R477iHSEwZpryDh8u6PD6fdmzKK6Wn9AjMnK3,HumidiFi,0.009,1
8H1Lqr6t7kvx5BY1zLkkARj8pksoXvixwjKBdvVC1y6U,HumidiFi,0.009,1
8gzcxch799t9an1P8DNXxjzL2V6Yche5TY5prjf1jL9H,ZeroFi,0.099,1
8gzcxch799t9an1P8DNXxjzL2V6Yche5TY5prjf1jL9H,HumidiFi,0.036,1
8gzcxch799t9an1P8DNXxjzL2V6Yche5TY5prjf1jL9H,SolFiV2,0.027,1
8jtt2EgUvMLnoCamfRwXyMCF37HTrtcr76VL16Btbwro,HumidiFi,0.108,1
8jtt2EgUvMLnoCamfRwXyMCF37HTrtcr76VL16Btbwro,GoonFi,0.018,1
8oKVwqA5S2B7g2Li6yqZ4KKghpER8G1vj3bbeg8dFkSw,HumidiFi,1.134,1
8oKVwqA5S2B7g2Li6yqZ4KKghpER8G1vj3bbeg8dFkSw,SolFiV2,0.252,1
8oKVwqA5S2B7g2Li6yqZ4KKghpER8G1vj3bbeg8dFkSw,ZeroFi,0.171,1
8oKVwqA5S2B7g2Li6yqZ4KKghpER8G1vj3bbeg8dFkSw,GoonFi,0.153,1
8oKVwqA5S2B7g2Li6yqZ4KKghpER8G1vj3bbeg8dFkSw,BisonFi,0.099,1
8oKVwqA5S2B7g2Li6yqZ4KKghpER8G1vj3bbeg8dFkSw,TesseraV,0.054,1
8psNvWTrdNTiVRNzAgsou9kETXNJm2SXZyaKuJraVRtf,HumidiFi,0.036,1
8psNvWTrdNTiVRNzAgsou9kETXNJm2SXZyaKuJraVRtf,SolFiV2,0.009,1
8sQhXy6XVTFC3qHGQruPJHEYNUeAuNnT7DPckzBzdtKm,HumidiFi,0.009,1
8zrxRCK1HjFNGhsvc7NJXfj2ybPxR3p25FhwFmEeyrAe,HumidiFi,0.063,1
8zrxRCK1HjFNGhsvc7NJXfj2ybPxR3p25FhwFmEeyrAe,BisonFi,0.009,1
92eSno2a7EqaBrj11tqxwaVTyZcwxhRNKCQsznLzDm25,HumidiFi,0.342,1
92eSno2a7EqaBrj11tqxwaVTyZcwxhRNKCQsznLzDm25,SolFiV2,0.0809999999999999,1
92eSno2a7EqaBrj11tqxwaVTyZcwxhRNKCQsznLzDm25,ZeroFi,0.063,1
92eSno2a7EqaBrj11tqxwaVTyZcwxhRNKCQsznLzDm25,BisonFi,0.045,1
92eSno2a7EqaBrj11tqxwaVTyZcwxhRNKCQsznLzDm25,GoonFi,0.027,1
92eSno2a7EqaBrj11tqxwaVTyZcwxhRNKCQsznLzDm25,TesseraV,0.009,1
99WHBf1vR8XQtMsMKFU3JMh6ZihZSVSGDjVtyABbAM9J,BisonFi,0.027,1
99WHBf1vR8XQtMsMKFU3JMh6ZihZSVSGDjVtyABbAM9J,HumidiFi,0.018,1
9ALtCwp8AyhEFd4yQEqKAgL9tpkekpsm46bChZcRMibu,HumidiFi,0.351,1
9ALtCwp8AyhEFd4yQEqKAgL9tpkekpsm46bChZcRMibu,TesseraV,0.099,1
9ALtCwp8AyhEFd4yQEqKAgL9tpkekpsm46bChZcRMibu,GoonFi,0.09,1
9ALtCwp8AyhEFd4yQEqKAgL9tpkekpsm46bChZcRMibu,BisonFi,0.054,1
9ALtCwp8AyhEFd4yQEqKAgL9tpkekpsm46bChZcRMibu,SolFiV2,0.036,1
9TXFVx8N9dPneS3ETRt8KWtUXLRUsz6j6JM3bEXqkR3Z,HumidiFi,2.439,1
9TXFVx8N9dPneS3ETRt8KWtUXLRUsz6j6JM3bEXqkR3Z,BisonFi,0.288,1
9TXFVx8N9dPneS3ETRt8KWtUXLRUsz6j6JM3bEXqkR3Z,TesseraV,0.027,1
