amm_trade,attacker_signer,back_running,fat_sandwich,front_running,sandwich,validator,sandwich_complete,cost_sol,profit_sol,net_profit_sol,confidence,classification
BisonFi,HkY8UaajuRDLJVDUA292FZGRBZKxf9CzYrUZLH2WrY1Q,0,8,0,0,A1vqhA2fS6K7CvHsJKX1ACcHJFEmyRg4KuR5pctHANy4,4,0.004,0.04,0.036,high,FAT_SANDWICH
BisonFi,Hr1oNgqznfMSx3KDdnsSJWU6LemHZqMZ1r4i81hyLYDN,0,10,0,0,CMPSSdrTnRQBiBGTyFpdCc3VMNuLWYWaSkE8Zh5z6gbd,5,0.005,0.05,0.045,high,FAT_SANDWICH
BisonFi,HydraXoSz7oE3774DoWQQaofKb31Kbn2cbcqG4ShKy85,0,5,0,0,9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,2,0.002,0.02,0.018,medium,FAT_SANDWICH
BisonFi,J1CMrMaFHJmG97R7xJYrJxRA3MNt7VyHe8CAEUnsQzre,0,35,0,1,9rkJMARqK6VBkcxGfKBAwnA44gPAfGxPbPsfsggFNDSQ,17,0.017,0.17,0.153,high,FAT_SANDWICH
BisonFi,J8hVkBNKobntWqLspa3yhXEkvb8vZ9S9NiHgirN9yvV3,0,73,0,1,Bs19Z9SokV1s46jutN9tqqaCgYf1GsVyyytVfkzwn9qK,36,0.036,0.36,0.3239999999999999,high,FAT_SANDWICH
BisonFi,NcLasxSu3sq921FhBniNniiQVzjSVcQk56nB26WTqG7,0,9,0,0,9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,4,0.004,0.04,0.036,high,FAT_SANDWICH
BisonFi,PZnEAXQs8JHjLuGPywZYAzSUqgfs5LjLmV6uh6eByWY,0,5,0,0,5fSQdv4zsAJNx6RKpGho6sL6rY6a8nziaqcmwaRJB9NE,2,0.002,0.02,0.018,medium,FAT_SANDWICH
BisonFi,TAPNDP5dFr9Vp47DFuddRxNVYmjUqgh8boiUrWFgMqi,0,36,0,0,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,18,0.018,0.18,0.1619999999999999,high,FAT_SANDWICH
BisonFi,V9MELpz59x9WfUG79KCWeMGL1YV2dAVpmKYAWmNUL3R,0,5,0,0,BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,2,0.002,0.02,0.018,high,FAT_SANDWICH
BisonFi,YubQzu18FDqJRyNfG8JqHmsdbxhnoQqcKUHBdUkN6tP,0,456,0,7,CiR8HNCfkjtcongPmP2DRdZPnFgjSbN5gsXdjmsXXHcB,231,0.231,2.31,2.079,high,FAT_SANDWICH
BisonFi,YubVwWeg1vHFr17Q7HQQETcke7sFvMabqU8wbv8NXQW,0,25,0,0,9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,12,0.012,0.12,0.108,high,FAT_SANDWICH
BisonFi,YubozzSnKomEnH3pkmYsdatUUwUTcm7s4mHJVmefEWj,0,4,0,0,ArMBx6veRq33ffEP9sxHafiPRgrtzww4XvbwZbSMfXiM,2,0.002,0.02,0.018,high,FAT_SANDWICH
BisonFi,b23Ke4utbwr1WcY8onbybJbNQghkNs7RrEC9f69VbJW,0,13,0,0,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,6,0.006,0.06,0.054,high,FAT_SANDWICH
