validator,back_running_count,front_running_count,sandwich_count,fat_sandwich_count,sandwich_complete_count,total_cost_sol,total_profit_sol,net_profit_sol,avg_confidence,mev_events,mev_risk_score
Stakex4B2tpDHPWGvV1dninfiaYCGdakgTknpzPitLh,0,0,0,18,8,0.008,0.08,0.072,,3,
FzQqaDStQQHs52YKeCnDovwSqvyZBCgs2kJcmvoFZwaS,0,0,0,17,8,0.008,0.08,0.072,,2,
CTDGxTK789ZvhgyHZHtSnxTtysbyY1mrywXEJiYYqXxC,0,0,0,18,8,0.008,0.08,0.072,,3,
58KprHKFNHgH1Cvo4QwxWkDeJNaSQVteCoAAFUWjtESn,0,0,0,17,7,0.007,0.07,0.063,,5,
grptonHnt7YSmJokGK9TJJTBXDT8ca4LSWMHCCfzzPa,0,0,1,15,7,0.007,0.07,0.063,,1,
DB7DNWMVQASMFxcjkwdr4w4eg3NmfjWTk2rqFMMbrPLA,0,0,0,14,7,0.007,0.07,0.063,,2,
5TGfVQV1S3wHE9hkgGaQkRoPC7xZxiqwMcjQZxVYsf1j,0,0,2,18,7,0.007,0.07,0.063,,10,
4QNekaDqrLmUENqkVhGCJrgHziPxkX9kridbKwunx9su,0,0,1,13,6,0.006,0.06,0.054,,2,
BeaCHioStqCEFDFxKwAEzyrUPYxqnBPhJ98gDKeEiTPb,0,0,0,16,5,0.005,0.05,0.045,,6,
AmjX7CerZbHrU814UeBp2gJC7gANNG3KrP4c3RyD7TSD,0,0,2,10,5,0.005,0.05,0.045,,2,
bxrAptB5ZpZBhoLedJpoGWY5hBjjt3zvVBr2323Rrq6,0,0,0,12,5,0.005,0.05,0.045,,2,
5AsoSeQtLoN8eLsf3wKrR3LwxHME4sTBGR6dpTCP1k3H,0,0,0,12,5,0.005,0.05,0.045,,2,
7qGNnXKW1e3DsqEaSxwxMdBTFsrK73XtWTmkGitRyMQc,0,0,0,11,5,0.005,0.05,0.045,,2,
5pZvwjSpGYCxpJeySwSbSAji7kZe4YntL7rQvXM3YcNT,0,0,0,13,5,0.005,0.05,0.045,,4,
